ID,Year,Month,Europa,Oceania,Asia,Africa,Total,America
200401,2004,1,608,10,5,0,643,20
200402,2004,2,1332,2,3,3,1401,61
200403,2004,3,2986,4,15,0,3105,100
200404,2004,4,14934,38,27,12,15554,543
200405,2004,5,15629,108,24,19,16860,1080
200406,2004,6,17831,95,53,26,19295,1290
200407,2004,7,30615,55,67,31,31891,1123
200408,2004,8,44785,25,59,21,45601,711
200409,2004,9,21544,93,52,17,22752,1046
200410,2004,10,13169,104,44,24,14556,1215
200411,2004,11,3914,27,17,1,4410,451
200412,2004,12,3658,13,12,0,3802,119
200501,2005,1,229,4,2,0,269,34
200502,2005,2,536,1,14,0,565,14
200503,2005,3,2898,13,26,2,3121,182
200504,2005,4,3009,40,13,3,3307,242
200505,2005,5,8244,141,43,26,9310,856
200506,2005,6,11233,129,55,62,12619,1140
200507,2005,7,17662,65,38,38,18804,1001
200508,2005,8,24079,51,69,22,24831,610
200509,2005,9,11149,163,54,22,12168,780
200510,2005,10,5688,137,45,22,6873,981
200511,2005,11,1149,42,16,3,1388,178
200512,2005,12,592,6,13,1,668,56
200601,2006,1,287,1,7,1,324,28
200602,2006,2,326,0,1,0,351,24
200603,2006,3,983,10,10,0,1096,93
200604,2006,4,7020,28,11,5,7451,387
200605,2006,5,8973,154,59,29,10147,932
200606,2006,6,11550,208,72,71,13011,1110
200607,2006,7,17582,87,77,47,18720,927
200608,2006,8,25452,41,68,21,26183,601
200609,2006,9,12398,106,67,43,13470,856
200610,2006,10,6405,169,81,43,7700,1002
200611,2006,11,1445,62,23,9,1755,216
200612,2006,12,749,8,15,0,848,76
200701,2007,1,284,3,12,0,350,51
200702,2007,2,597,4,10,0,665,54
200703,2007,3,1533,5,14,1,1680,127
200704,2007,4,7495,51,41,29,8115,499
200705,2007,5,11580,190,91,29,12924,1034
200706,2007,6,13398,217,141,91,15182,1335
200707,2007,7,18878,77,106,44,20156,1051
200708,2007,8,26333,48,161,20,27289,727
200709,2007,9,13938,136,111,65,15282,1032
200710,2007,10,8102,178,168,31,9443,964
200711,2007,11,2065,70,55,7,2496,299
200712,2007,12,712,7,15,3,795,58
200801,2008,1,260,3,15,0,306,28
200802,2008,2,628,4,17,1,703,53
200803,2008,3,4960,11,35,11,5327,310
200804,2008,4,5133,83,84,15,5648,333
200805,2008,5,14406,217,187,43,16001,1148
200806,2008,6,14127,212,199,74,15904,1292
200807,2008,7,19547,108,189,49,21066,1173
200808,2008,8,28965,53,233,21,29996,724
200809,2008,9,16011,174,164,57,17378,972
200810,2008,10,8303,248,222,38,9878,1067
200811,2008,11,1859,67,88,6,2309,289
200812,2008,12,997,6,22,0,1085,60
200901,2009,1,413,2,57,0,523,51
200902,2009,2,632,5,20,0,698,41
200903,2009,3,1702,7,26,3,1850,112
200904,2009,4,9560,74,89,19,10316,574
200905,2009,5,14884,220,209,35,16498,1150
200906,2009,6,17412,227,251,89,19354,1375
200907,2009,7,25123,107,241,52,26752,1229
200908,2009,8,34233,59,254,37,35546,963
200909,2009,9,18889,199,197,52,20623,1286
200910,2009,10,9951,246,315,36,11731,1183
200911,2009,11,1869,58,117,8,2353,301
200912,2009,12,853,19,59,3,1010,76
201001,2010,1,1045,6,69,0,1188,68
201002,2010,2,1493,5,37,1,1640,104
201003,2010,3,5552,10,83,1,5883,237
201004,2010,4,18518,95,163,23,19587,788
201005,2010,5,26615,225,269,61,28846,1676
201006,2010,6,30958,245,452,64,33756,2037
201007,2010,7,39832,168,341,81,42466,2044
201008,2010,8,59328,84,342,66,61534,1714
201009,2010,9,34266,216,262,83,36848,2021
201010,2010,10,23888,261,399,49,26598,2001
201011,2010,11,7299,62,191,15,8075,508
201012,2010,12,5674,7,84,3,5967,199
201101,2011,1,516,2,74,4,644,48
201102,2011,2,689,4,66,0,820,61
201103,2011,3,2736,10,93,7,3023,177
201104,2011,4,13056,80,168,38,14154,812
201105,2011,5,17575,251,323,88,19805,1568
201106,2011,6,22489,274,418,97,25239,1961
201107,2011,7,28551,157,402,84,30842,1648
201108,2011,8,39122,111,434,62,41489,1760
201109,2011,9,23679,279,280,126,26023,1659
201110,2011,10,13376,345,615,84,16243,1823
201111,2011,11,2944,74,212,7,3591,354
201112,2011,12,1332,3,67,3,1498,93
201201,2012,1,646,8,115,1,872,102
201202,2012,2,1123,6,73,2,1305,101
201203,2012,3,2855,40,106,7,3260,252
201204,2012,4,13191,113,315,73,14749,1057
201205,2012,5,18575,368,434,119,21776,2280
201206,2012,6,21790,358,612,142,25517,2615
201207,2012,7,29626,228,499,152,32818,2313
201208,2012,8,38788,160,546,72,41096,1530
201209,2012,9,23828,355,457,123,27321,2558
201210,2012,10,14175,508,585,116,18091,2707
201211,2012,11,3236,94,277,12,4170,551
201212,2012,12,1240,22,107,5,1483,109
201301,2013,1,566,19,140,5,806,76
201302,2013,2,1154,8,114,5,1382,101
201303,2013,3,6430,34,204,12,7228,548
201304,2013,4,9836,195,276,41,11532,1184
201305,2013,5,20701,606,581,131,25205,3186
201306,2013,6,23952,576,689,190,29374,3967
201307,2013,7,32591,339,571,127,36559,2931
201308,2013,8,44124,197,646,81,46726,1678
201309,2013,9,26522,671,467,136,30894,3098
201310,2013,10,14625,808,644,105,19607,3425
201311,2013,11,3626,146,387,20,4907,728
201312,2013,12,1373,25,124,1,1659,136
201401,2014,1,634,16,145,2,906,109
201402,2014,2,757,18,137,2,970,56
201403,2014,3,2654,21,120,3,3150,352
201404,2014,4,15051,277,482,57,17347,1480
201405,2014,5,22112,726,743,113,27354,3660
201406,2014,6,26843,840,889,150,33021,4299
201407,2014,7,34881,409,750,106,39581,3435
201408,2014,8,48202,253,720,81,51218,1962
201409,2014,9,28819,758,683,127,34457,4070
201410,2014,10,17253,914,1063,127,23205,3848
201411,2014,11,3470,167,445,14,4803,707
201412,2014,12,1518,24,153,4,1870,171
201501,2015,1,837,11,229,2,1217,138
201502,2015,2,1224,6,184,5,1544,125
201503,2015,3,4403,38,213,6,5080,420
201504,2015,4,15113,285,596,106,17721,1621
201505,2015,5,24848,769,941,128,31076,4390
201506,2015,6,28542,811,906,210,35923,5454
201507,2015,7,39503,441,857,128,44794,3865
201508,2015,8,51627,263,800,61,54794,2043
201509,2015,9,31174,836,791,203,37429,4425
201510,2015,10,18538,896,1079,110,25576,4953
201511,2015,11,3815,168,431,13,5228,801
201512,2015,12,1653,29,188,5,2062,187
201601,2016,1,911,18,212,7,1304,156
201602,2016,2,1291,9,303,3,1733,127
201603,2016,3,9789,57,312,30,11067,879
201604,2016,4,12586,245,654,46,15100,1569
201605,2016,5,25390,1030,1172,133,32776,5051
201606,2016,6,30783,962,1148,156,39070,6021
201607,2016,7,39630,444,855,133,45471,4409
201608,2016,8,50205,316,840,62,53704,2281
201609,2016,9,32869,944,801,139,40149,5396
201610,2016,10,20027,996,1414,130,28222,5655
201611,2016,11,4670,169,548,16,6394,991
201612,2016,12,2221,31,226,8,2864,378
201701,2017,1,934,23,246,5,1354,146
201702,2017,2,1199,16,298,0,1696,183
201703,2017,3,4313,38,252,11,5176,562
201704,2017,4,23146,333,756,123,26925,2567
201705,2017,5,26467,1080,1409,188,35347,6203
201706,2017,6,31602,1087,1275,257,41619,7398
201707,2017,7,41010,522,1118,212,47470,4608
201708,2017,8,53468,277,1030,127,57680,2778
201709,2017,9,34073,984,968,188,42189,5976
201710,2017,10,22067,1153,1491,153,31341,6477
201711,2017,11,5385,157,670,22,7346,1112
201712,2017,12,2316,68,240,2,2893,267
201801,2018,1,1113,27,257,2,1627,228
201802,2018,2,1646,14,285,16,2181,220
201803,2018,3,9609,74,304,30,11056,1039
201804,2018,4,18213,405,773,136,22068,2541
201805,2018,5,30602,1078,1689,0,40665,7022
201806,2018,6,34943,1109,1755,259,45685,7619
201807,2018,7,44197,514,1079,302,50867,4775
201808,2018,8,55714,286,1094,180,60415,3141
201809,2018,9,37204,1144,1117,409,47006,7132
201810,2018,10,25496,1267,1852,273,35602,6714
201811,2018,11,5507,219,724,23,7651,1178
201812,2018,12,1872,44,303,9,2553,325
201901,2019,1,1125,27,269,2,1651,228
201902,2019,2,1535,17,359,3,2119,205
201903,2019,3,6215,63,307,35,7474,854
201904,2019,4,26875,441,999,172,31722,3235
201905,2019,5,34991,1195,2288,331,46673,7868
201906,2019,6,37020,1108,2139,398,49058,8393
201907,2019,7,45856,564,1570,278,53319,5051
201908,2019,8,57507,319,1502,233,62814,3253
201909,2019,9,34940,1154,1529,519,45653,7511
201910,2019,10,24871,1103,2505,295,36118,7344
201911,2019,11,5617,212,1058,50,8274,1337
201912,2019,12,1938,56,414,21,2710,281
202001,2020,1,1248,44,440,5,2001,264
202002,2020,2,2325,18,442,9,3076,282
202003,2020,3,1586,15,124,2,1948,221
202006,2020,6,12,0,0,0,12,0
202007,2020,7,9455,4,42,12,9752,239
202008,2020,8,19074,18,73,25,19812,622
202009,2020,9,9955,15,50,14,10441,407
202010,2020,10,6089,11,34,13,6418,271
202011,2020,11,525,5,12,1,585,42
202012,2020,12,83,1,9,0,99,6
202101,2021,1,54,0,1,0,60,5
202102,2021,2,13,0,0,0,14,1
202103,2021,3,175,0,4,0,194,15
202104,2021,4,956,0,8,1,1024,59
202105,2021,5,4119,1,23,4,4295,148
202106,2021,6,14229,9,46,13,14824,527
202107,2021,7,32004,29,155,52,33963,1723
202108,2021,8,41800,17,193,53,43575,1511
202109,2021,9,33836,31,212,47,37463,3337
202110,2021,10,26840,38,238,39,31170,4015
202111,2021,11,7756,9,198,19,9094,1112
202112,2021,12,1084,5,22,3,1193,79
202201,2022,1,1347,5,51,0,1617,214
202202,2022,2,1735,5,61,3,2034,230
202203,2022,3,6302,19,98,19,7389,951
202204,2022,4,29635,101,552,86,34283,3909
202205,2022,5,37865,286,1208,174,48254,8721
202206,2022,6,47309,510,999,188,58012,9006
202207,2022,7,59466,277,847,258,67374,6526
202208,2022,8,80892,240,833,129,85842,3748
202209,2022,9,53939,642,1126,305,66196,10184
202210,2022,10,38049,693,2249,247,51356,10118
